umbrella	 n.: 雨伞
pointer，n.	指针；提示
pointless，adj.	无意义的；没道理的
poised，adj.	泰然自若的；保持平衡的
poison，adj.	有毒的
poison，n.	毒药
poison，v.	毒害；下毒；污染
poisoning，n.	中毒
poisonous，adj.	有毒的
polar，adj.	极地的；两极的
polar，n.	极线
pole，n.	杆；柱；极
pole，v.	用杆撑
police，adj.	警察的
police，n.	警察；警方
police，v.	管制；维持治安
police officer，n.	警官；警察
policeman，n.	警察
policewoman，n.	女警
policies，n.	政策（复数）；保险单（复数）
policy，n.	政策；方针；保险单
policy-holder，n.	投保人
poliomyelitis，n.	小儿麻痹症
polish，n.	上光剂；优雅
polish，v.	擦亮；润色
political，adj.	政治的
political campaign，idiom/phrase: 政治运动；竞选活动	
political science，n.	政治学
politician，n.	政客；政治家
politicize，v.	使政治化
politics，n.	政治；政治活动
poll，adj.	无角的
poll，n.	民意调查；投票
poll，v.	投票；获得（选票）
pollen，n.	花粉
pollen，v.	给…授粉
pollinate，v.	给…授粉
pollutant，n.	污染物
pollute，v.	污染
pollute water，idiom/phrase: 污染水源	
polluter，n.	污染者；污染源
pollution control u，n.	污染控制
polo，n.	马球；水球
polo player，n.	马球运动员
polycup，n.	塑料杯
polymorphic，adj.	多态的；多形的
polystyrene，n.	聚苯乙烯
polytechnic，adj.	理工的
polytechnic，n.	理工学院
pomelo，n.	柚子
pommelled horse，n.	鞍马
pond，v.	筑塘
pool，n.	游泳池；水池；台球
pool，v.	集中（资源、资金）
poolroom，n.	台球室
poor，adj.	贫穷的；差的
poor，adj.	贫穷的；差的；可怜的
poor area，n.	贫困地区
pop，n.	流行音乐；汽水；砰的一声
pop，v.	发出砰的一声；突然出现
pop group，n.	流行乐队
pop music，n.	流行音乐
pop singer，n.	流行歌手
pop song，n.	流行歌曲
porridge，n.	麦片粥；粥
port，n.	港口；端口
port，v.	转向左舷
portability，n.	便携性；可移植性
portable，adj.	便携的；手提的
portable，n.	便携式设备
portable recorder u，n.	便携式录音机
porter，n.	搬运工；门房
portfolio，n.	作品集；公文包；投资组合
portion，n.	一部分；一份
portion，v.	分配
portrait，n.	肖像；画像
portray，v.	描绘；扮演
portrayal，n.	描绘；扮演
pose，n.	姿势；姿态
pose，v.	摆姿势；造成（问题）
position，n.	位置；职位；立场
position，v.	安置；放置
positional argument，idiom/phrase: 位置参数	
positional-only，idiom/phrase: 仅限位置	
positional-or-keyword，idiom/phrase: 位置或关键字	
positive，adj.	积极的；正面的；阳性的
positive，n.	正数；优点
positive attitude，idiom/phrase: 积极的态度	
positive ideas，idiom/phrase: 积极的想法	
positive mental attitude，idiom/phrase: 积极心态	
positive role，idiom/phrase: 积极作用	
positively，adv.	肯定地；积极地
possess，v.	拥有
possess a car，idiom/phrase: 拥有一辆车	
possession，n.	拥有；财产；所有物
possessive，adj.	占有欲强的；所有格的
possessive，n.	所有格
possessor，n.	拥有者
possibility，n.	可能性
possible，n.	可能的事
possibly，adv.	可能；也许
post，n.	职位；岗位；邮件；柱子
post，v.	张贴；邮寄；发布
post code，n.	邮政编码
post design，n.	邮政设计
post office，n.	邮局
post survey，n.	事后调查
post-industrial，adj.	后工业化的
post-mortem，adj.	死后的
post-mortem，adv.	死后地
post-mortem，n.	验尸；事后分析
post-sale service，idiom/phrase: 售后服务	
postage，n.	邮费
postal，adj.	邮政的
postal，n.	明信片
postbox，n.	邮箱；邮筒
postcode，n.	邮政编码
postconditions，n.	后置条件
postdoctoral，adj.	博士后的
posterior，adj.	后面的
posterior，n.	臀部
postgraduate，adj.	研究生的
postgraduate，n.	研究生
posthumous，adj.	死后的
postmark，n.	邮戳
postmark，v.	盖邮戳
postpone，v.	推迟；延期
postscript，n.	附言；又及
postulate，n.	假定；基本前提
postulate，v.	假定
posture，n.	姿势；姿态
posture，v.	摆姿势
pot，n.	锅；壶；盆
pot，v.	把…装罐；射击
pot plant，n.	盆栽
pot-holer，n.	洞穴探险者
pot-holing，n.	洞穴探险
potato，n.	土豆；马铃薯
potatoes，n.	土豆（复数）
potency，n.	效力；力量
potent，adj.	强有力的；有效的
potential，adj.	潜在的；可能的
potential，n.	潜力；可能性
potential customers，n.	潜在客户
potentiality，n.	潜力；可能性
potentially，adv.	潜在地；可能地
pots，n.	锅（复数）；壶（复数）
pottery，n.	陶器；陶瓷
poultry，n.	家禽
pounce，n.	猛扑
pounce，v.	猛扑
pound，n.	磅；英镑；猛击
pound，v.	猛击；捣碎
pounds，n.	磅（复数）；英镑（复数）
pounds，v.	猛击（第三人称单数）
pour，n.	倾泻
poverty，n.	贫穷；贫困
powder，n.	粉末；粉
powder，v.	搽粉；变成粉末
powder puff，n.	粉扑
power，adj.	权力的；电力的
power，n.	力量；权力；电力
power，v.	驱动；提供动力
power company，n.	电力公司
power cord，n.	电源线
power line，n.	电力线
power switch，n.	电源开关
power-based，adj.	基于权力的
powerful，adj.	强大的；有力的
powerful，adj.	强大的；有影响力的
powerful，adv.	非常
powerpoint，n.	幻灯片演示；PPT
practicable，adj.	可行的；行得通的
practical，adj.	实际的；实用的
practical course，n.	实践课
practical ideas，n.	实用的想法
practical skill，n.	实用技能
practical skills，n.	实用技能
practical work，n.	实践工作
practicality，n.	实用性；可行性
practically，adv.	几乎；实际上
practice，n.	练习；实践；惯例
practice，v.	练习；实践
practices，n.	做法；惯例；练习
practices，v.	练习（第三人称单数）
practitioner，n.	从业者；执业者
pragmatic，adj.	务实的；实用的
praise，v.	赞扬；称赞
prawn，n.	大虾；对虾
prawn，v.	捕虾
pray，v.	祈祷；祈求
prayer，n.	祈祷；祷告
praying mantis，n.	螳螂
pre-booking，n.	预订
preach，n.	说教；讲道
preach，v.	说教；讲道；鼓吹
preacher，n.	传教士；牧师
precarious，adj.	不稳定的；危险的
precariously，adv.	危险地；不稳地
precaution，n.	预防措施
precaution，v.	警惕
precede，v.	在…之前；先于
precedence，n.	优先；优先权
precedent，adj.	在先的
precedent，n.	先例
preceding，adj.	在前的；前面的
preceding，v.	在…之前（进行时）
precious，adj.	珍贵的；宝贵的
precious resource，n.	宝贵资源
precipitate，adj.	仓促的；突然的
precipitate，n.	沉淀物
precipitate，v.	促成；使沉淀
precipitation，n.	降水；降水量
precipitous，adj.	陡峭的；急剧的
precise，adj.	精确的；准确的
precisely，adv.	精确地；恰好
precision，adj.	精密的
precision，n.	精确；精度
preclude，v.	排除；阻止
precognition，n.	预知
preconditions，n.	前提条件；先决条件
predation，n.	捕食
predator，n.	捕食者
predators，n.	捕食者（复数）
predatory，adj.	捕食性的
predecessor，n.	前任；前身
predicate，adj.	谓语的
predicate，n.	谓语
predicate，v.	断言；基于
predictability，n.	可预测性
predictable，adj.	可预测的
predicting，v.	预测（进行时）
predispose，v.	使倾向于
predominance，n.	优势；主导地位
predominant，adj.	主要的；占优势的
predominantly，adv.	主要地
predominate，v.	占主导地位
prefabricate，v.	预制
preface，n.	序言；前言
preface，v.	作为…的开端
prefer，v.	更喜欢；宁愿
preferable，adj.	更好的；更可取的
preferably，adv.	最好是；更可取地
preference，n.	偏爱；偏好；优先权
preferential，adj.	优先的；优惠的
prefix，n.	前缀
prefix，v.	加前缀
prefrontal，adj.	前额的
pregnancy，n.	怀孕；妊娠
pregnant，adj.	怀孕的；意味深长的
prehistoric，adj.	史前的
prejudice，n.	偏见
prejudice，v.	使有偏见；损害
prejudiced，adj.	有偏见的
preliminary，adj.	初步的；预备的
preliminary，n.	初步；预赛
prelude，n.	序幕；前奏
prelude，v.	作为…的序幕
premature，adj.	过早的；不成熟的；早产的
premature，n.	早产儿
premier，adj.	首要的；第一的
premier，n.	总理；首相
premiere，adj.	首次的
premiere，n.	首映；首次公演
premiere，v.	首次公演；首映
premise，n.	前提
premise，v.	以…为前提
premises，n.	经营场所；楼宇
premium，adj.	优质的；高价的
premium，n.	额外费用；保险费；奖金
preoccupation，n.	全神贯注；主要想的事情
preparation，n.	准备；准备工作
prepare，v.	准备；预备
prepared，adj.	准备好的
prepay，v.	预付
preponderance，n.	优势；大多数
preposition，n.	介词
prerequisite，adj.	必备的
prerequisite，n.	先决条件；前提
prerogative，adj.	有特权的
prerogative，n.	特权
preschool，n.	幼儿园；学前班
prescient，adj.	有预知能力的
prescribe，v.	开（药方）；规定
prescription，n.	处方；药方
presence，n.	出席；存在；风度
present，v.	呈现；赠送；介绍
presentation，n.	演讲；报告；展示
presentations，n.	演讲（复数）；报告（复数）
presently，adv.	不久；马上
preservation，n.	保存；保护
preservative，adj.	防腐的
preservative，n.	防腐剂
preserve，v.	保护；保存；维持
preserve，n.	保护区；蜜饯
preserved，adj.	保存完好的；腌制的
preserver，n.	保护者
preset，v.	预设
preside，v.	主持
president，n.	总统；主席；校长
presidential，adj.	总统的
press，n.	媒体；新闻界；按；压
press agency，n.	通讯社
press association，n.	新闻协会
press baron，n.	报业大王
press commentary，idiom/phrase: 新闻评论	
press conference，n.	记者招待会；新闻发布会
press coverage，idiom/phrase: 新闻报道	
press digest，idiom/phrase: 新闻摘要	
pressed，adj.	紧迫的；受压的
pressed，v.	按（过去式）
pressing，adj.	紧迫的；紧急的
pressing，n.	压制；唱片
pressure，v.	施压；迫使
prestige，n.	声望；威信
prestigious，adj.	有声望的；名牌的
presumably，adv.	大概；据推测
presume，v.	推测；假定；冒昧
presumption，n.	推测；假定
presumptuous，adj.	放肆的；冒昧的
presuppose，v.	预先假定
pretender，n.	冒充者；王位觊觎者
pretension，n.	炫耀；自命不凡
pretentious，adj.	炫耀的；自命不凡的
pretty，adv.	相当；挺
prevail，v.	盛行；占优势
prevailing，adj.	流行的；普遍的
prevalence，n.	流行；普遍
prevalent，adj.	流行的；普遍的
preventable，adj.	可预防的
preventative，adj.	预防性的
prevention，n.	预防；阻止
preventive，adj.	预防性的
preview，n.	预告；预习；预览
preview，v.	预习；预览
previous，adj.	以前的；之前的
previously，adv.	以前；之前
prey，n.	猎物；受害者
prey，v.	捕食；折磨
price，n.	价格；代价
price volatility，n.	价格波动
priceless，adj.	无价的；非常宝贵的
prickly，adj.	多刺的；易怒的
pride，n.	自豪；骄傲；自尊
priest，n.	牧师；神父
primal，adj.	原始的；最初的
primarily，adv.	主要地
primary，adj.	主要的；初级的；首要的
primary school，idiom/phrase: 小学	
primate，n.	灵长类动物
prime，adj.	首要的；最好的；优质的
primeval，adj.	原始的；远古的
primitive，adj.	原始的；简陋的
primogenitor，n.	始祖
prince，n.	王子
princess，n.	公主
principal，adj.	主要的
principal，n.	校长；本金
principally，adv.	主要地
principle，n.	原则；原理
print，n.	印刷品；字体；印记
print media，idiom/phrase: 平面媒体	
printable，adj.	可打印的
printed，adj.	印刷的
printer，n.	打印机
printing，n.	印刷；印刷术
prior，adj.	在先的；优先的
prior，adv.	在前
prioritize，v.	优先处理
priority，n.	优先；优先事项
prise，n.	杠杆
prise，v.	撬开
prisoner，n.	囚犯；犯人
prisoners，n.	囚犯（复数）
pristine，adj.	崭新的；原始的
privacy，n.	隐私
private，n.	士兵
private address，idiom/phrase: 私人地址	
private beach，idiom/phrase: 私人海滩	
private car，n.	私家车
private contents insurance，idiom/phrase: 个人财物保险	
private gardens，idiom/phrase: 私家花园	
private housing，idiom/phrase: 私人住宅	
private museum，idiom/phrase: 私人博物馆	
private property，idiom/phrase: 私人财产	
private school，n.	私立学校
privately，adv.	私下地
privilege，n.	特权；荣幸
privileged，adj.	享有特权的
prize，n.	奖；奖品
prize，v.	珍视；重视
prizefighter，n.	职业拳击手
prizes，n.	奖品（复数）
probability，n.	可能性；概率
probable，adj.	很可能的
probation，n.	试用期；缓刑
probe，n.	探针；探测器；调查
probe，v.	探查；调查
problem，n.	问题；难题
problem，adj.	造成问题的
problem solving，idiom/phrase: 解决问题	
problems，n.	问题（复数）
procedural，adj.	程序上的
procedure，n.	程序；手续；步骤
proceed，v.	继续进行；着手
proceeds，n.	收入；收益
process，adj.	经过加工的
process，n.	过程；流程
process，v.	处理；加工
procession，n.	队伍；行列
procession，v.	列队行进
processor，n.	处理器
proclaim，v.	宣布；声明
proclivity，n.	倾向
procrastinate，v.	拖延
procrastination，n.	拖延；拖延症
procure，v.	（努力）获得
procurement，n.	采购
prodigious，adj.	巨大的；惊人的
produce，v.	生产；制作；产生
produce pollution，idiom/phrase: 产生污染	
producer，n.	生产者；制片人
product，n.	产品；产物
product advertisement，n.	产品广告
production，n.	生产；制作；作品
production center，n.	生产中心
productive，adj.	富有成效的；多产的
productivity，n.	生产力；生产率
products，n.	产品（复数）
profession，n.	（需要专业技能的）职业；专业
professional athlete，n.	职业运动员
professional band，n.	专业乐队
professional gardeners，n.	专业园丁
professional learning，n.	专业学习
professional photographer，n.	专业摄影师
professional skill，n.	专业技能
professional team，n.	专业团队
professor，n.	教授
profile，n.	简介；个人资料；轮廓
profile，v.	概述；写简介
profile photo，n.	头像照片
profit，n.	利润；收益
profit，v.	获利；有益于
profitable，adj.	有利可图的；有益的
profitably，adv.	有利地
profiteering，idiom/phrase: 牟取暴利	
profits，n.	利润（复数）
profound，adj.	深刻的；深远的
profoundly，adv.	深刻地；极大地
profuse，adj.	大量的；丰富的
dinner，n.	晚餐；正餐
program，v.	编程；设定
programmable，adj.	可编程的
programme，n.	节目；计划；课程
programme，v.	安排；计划
programmer，n.	程序员
programmes，n.	节目（复数）；计划（复数）
programmes，v.	安排（第三人称单数）
programming，n.	编程；程序设计
progression，n.	发展；前进
progressive，adj.	进步的；渐进的
progressive，n.	进步人士
progressively，adv.	逐渐地
prohibit，v.	禁止
prohibition，n.	禁止；禁令
prohibitive，adj.	（价格）高得离谱的；禁止性的
project，n.	项目；工程；计划
project，v.	投射；预测；规划
project background，idiom/phrase: 项目背景	
project outline，idiom/phrase: 项目大纲	
project request，idiom/phrase: 项目要求	
projectile，adj.	抛射的
projectile，n.	抛射物
projection device，idiom/phrase: 投影设备	
projector，n.	投影仪
proletarian，adj.	无产阶级的
proletarian，n.	无产者
proliferate，v.	激增；扩散
prologue，n.	序言；开场白
prologue，v.	为…作序
prolong，v.	延长
prolong time of holidays，idiom/phrase: 延长假期	
prolongation，n.	延长
prolonged，adj.	持久的；长时间的
prominence，n.	突出；显赫
prominent，adj.	突出的；著名的；杰出的
promiscuous，adj.	（性关系）混乱的；混杂的
promiscuous，adv.	杂乱地
promise，v.	承诺；答应
promising，adj.	有前途的；有希望的
promising，v.	承诺（进行时）
promising future，idiom/phrase: 光明的前途	
promo，n.	宣传；推广活动
promontory，n.	岬
promote，v.	促进；提升；推销
promote products，idiom/phrase: 推销产品	
promote the products，idiom/phrase: 推销产品	
promotion，n.	晋升；促销；推广
promotion opportunity，idiom/phrase: 晋升机会	
promotional，adj.	促销的；推广的
prompt，adj.	迅速的；及时的
prompt，adv.	准时地
prompt，n.	提示
prompt，v.	促使；提示
promptly，adv.	迅速地；立即
promulgate a law，idiom/phrase: 颁布法律	
prone，adj.	易于…的；有…倾向的
pronounceable，adj.	可发音的
pronounced，adj.	明显的；显著的
pronounced，v.	发音（过去式）
pronunciation，n.	发音
proof，adj.	防…的
proof，n.	证据；证明
proof，v.	校对；使防水/防火
proof reading，n.	校对
proofread，v.	校对
prop，n.	支柱；道具
prop，v.	支撑
propaganda，n.	宣传
propagate，v.	繁殖；传播
propagation，n.	传播；繁殖
propel，v.	推进；驱使
propellant，adj.	推进的
propellant，n.	推进剂
propeller，n.	螺旋桨
propelling pencil，n.	自动铅笔
proper，adj.	适当的；合适的；真正的
proper，adv.	完全地
properly，adv.	适当地；正确地
property，n.	财产；房产；特性
prophet，n.	先知
proponent，n.	支持者；倡导者
proportion，n.	比例；部分；均衡
proportion，v.	使成比例
proposal，n.	提议；建议；求婚
propose，v.	提议；建议；求婚
proposition，n.	提议；主张；命题
proprietary，adj.	专有的；专利的
propriety，n.	得体；礼节
propulsion，n.	推进力
prorate，v.	按比例分配
prorated system，idiom/phrase: 按比例分配系统	
prose，n.	散文
prosecute，v.	起诉；检控
prospect，n.	前景；可能性；景象
prospective，adj.	未来的；潜在的
prospectus，n.	（学校、公司的）简介；说明书
prosper，v.	繁荣；昌盛
prosperity，n.	繁荣；昌盛
prosperity of local economy，n.	地方经济繁荣
prosperous，adj.	繁荣的；兴旺的
protagonist，n.	主角；主人公
protect environment，idiom/phrase: 保护环境	
protect rare animals，idiom/phrase: 保护稀有动物	
protect rights of women，idiom/phrase: 保护女性权益	
protect the environment，idiom/phrase: 保护环境	
protection，n.	保护
protection policy，idiom/phrase: 保护政策	
protective，adj.	保护的；防护的
protective clothing，n.	防护服
protein，n.	蛋白质
protest，n.	抗议
protest，v.	抗议
protocol，n.	协议；礼仪；（计算机）协议
protocol，v.	把…记入议定书
prototype，n.	原型；样板
protrude，v.	伸出；突出
prove，v.	证明；证实
provenance，n.	起源；出处
proverb，n.	谚语
provide，v.	提供；供应
provide a service of the community，idiom/phrase: 提供社区服务	
provide catering services，idiom/phrase: 提供餐饮服务	
provide information about products，idiom/phrase: 提供产品信息	
provide sb. with entertainment，idiom/phrase: 为某人提供娱乐	
provided，conj.	如果；只要
provided，v.	提供（过去式）
provocative，adj.	挑衅的；煽动性的
provincial capital，n.	省会
provincial library，n.	省图书馆
provision，n.	提供；条款；准备
provision，v.	为…提供给养
provisional，adj.	临时的；暂定的
provisional，n.	临时工；临时事物
provisional API，idiom/phrase: 临时API	
provisional booking，idiom/phrase: 临时预订	
provisional package，idiom/phrase: 临时包	
provisionally，adv.	临时地
provocation，n.	挑衅
provoke，v.	激怒；挑衅；引起
prowess，n.	高超的技艺；非凡的才能
proximity，n.	接近；邻近
proxy，n.	代理人；代理权
prudent，adj.	谨慎的
pseudo，adj.	假的；伪的
pseudo，n.	假冒者
pseudorandom，n.	伪随机
psychiatric，adj.	精神病的；精神病学的
psychiatrist，n.	精神科医生
psychic，adj.	通灵的；心理的
psychic，n.	通灵的人
psycholinguistics，n.	心理语言学
psychological，adj.	心理的
psychologist，n.	心理学家
psychology，n.	心理学；心理
pterosaur，n.	翼龙
pub，n.	酒吧
puberty，n.	青春期
public，adj.	公众的；公共的
public，n.	公众；民众
public areas，idiom/phrase: 公共区域	
public beach，idiom/phrase: 公共海滩	
public campground，idiom/phrase: 公共露营地	
public facilities，idiom/phrase: 公共设施	
public gardens，idiom/phrase: 公园	
public lavatory，idiom/phrase: 公共厕所	
public museum，n.	公立博物馆
public prints，n.	公开出版物
public relations，n.	公共关系；公关
public school，n.	公立学校
public service advertising，n.	公益广告
public square，n.	广场
public telephone，n.	公用电话
public transport，n.	公共交通
public transport company，n.	公交公司
public transportation，n.	公共交通
publication，n.	出版物；发表
publicise，v.	宣传；公布
publicity，n.	宣传；曝光
publish，v.	出版；发表；公布
publisher，n.	出版商；出版社
publishing，adj.	出版的
publishing house，n.	出版社
pudding，n.	布丁；甜点
puff，n.	一阵（烟、气）；泡芙
puff，v.	（使）膨胀；喘气
pull，n.	拉；拉力；吸引力
pull，v.	拉；拖；拔
pull into the station，idiom/phrase: （火车）进站	
pull out of the station，idiom/phrase: （火车）出站	
pull up stakes，idiom/phrase: 搬家；离开	
pulley，n.	滑轮
pulley，v.	用滑轮升起
pulse，n.	脉搏；脉冲
pulse，v.	（心脏）跳动；搏动
pulverise，v.	粉碎；摧毁
pulverized rock，idiom/phrase: 粉碎的岩石	
pulverize，v.	粉碎；摧毁
pulverized，adj.	粉碎的
puma，n.	美洲狮
pumice，n.	浮石
pumice，v.	用浮石磨光
pump，n.	泵；抽水机
pump，v.	（用泵）抽吸；打气
pumpkin，n.	南瓜
punch，n.	一拳；冲床；潘趣酒
punch，v.	用拳猛击；打孔
punch line，n.	（笑话的）点睛之笔
punctual，adj.	准时的；守时的
punctuality，n.	准时；守时
punctually，adv.	准时地
punctuate，v.	加标点符号；不时打断
puncture，n.	（轮胎的）小孔；刺破
puncture，v.	（被）刺穿；（被）戳破
pungent，adj.	刺鼻的；辛辣的；尖刻的
punish，v.	惩罚；处罚
punishment，n.	惩罚；处罚
pup，n.	幼崽；小狗
pup，v.	生（幼崽）
pupation，n.	化蛹
puppet，n.	木偶；傀儡
puppetry，n.	木偶戏
purchasable，adj.	可购买的
purchase，n.	购买；购买的物品
purchase，v.	购买
purchaser，n.	购买者；买方
purchasing habits of customers，idiom/phrase: 顾客购买习惯	
purchasing power of customers，idiom/phrase: 顾客购买力	
pure，adj.	纯的；纯粹的
pure function，idiom/phrase: 纯函数	
pure water，n.	纯净水
purge，v.	清除；清洗
purify，v.	净化；提纯
purist，n.	纯粹主义者
purity，n.	纯净；纯洁
purple，v.	变成紫色
purpose，v.	打算；意图
purse，n.	钱包；手袋
purse，v.	撅起（嘴唇）
pursue，v.	追求；追赶；继续
pursue luxuries，idiom/phrase: 追求奢侈品	
pursuit，n.	追求；追赶；爱好
push，n.	推；推动
push，v.	推；按；催促
push off，idiom/phrase: 走开；离开	
push-up，n.	俯卧撑
put，adj.	固定的
put，n.	投掷
put，v.	放；摆；说
put on，idiom/phrase: 穿上；上演；假装	
put on weight，idiom/phrase: 增重；长胖	
puzzle，n.	谜题；难题
puzzle，v.	使困惑；苦思
pyramid，n.	金字塔
pyramid，v.	逐步增加；使成金字塔形
pyramid-shaped dumpling，n.	粽子
pyrex glass，n.	耐热玻璃
pyrotechnic，adj.	烟火的；精彩绝伦的
pyrotechnics，n.	烟火；烟火表演
python，n.	蟒蛇
pythonic，adj.	Python风格的
quadruple，adj.	四倍的；四重的
quadruple，n.	四倍
quadruple，v.	增加到四倍
quagmire，n.	沼泽；困境
qualification，n.	资格；资历
qualified，adj.	合格的；有资格的
qualified，v.	使具备资格（过去式）
qualified name，idiom/phrase: 限定名称	
qualified teachers，idiom/phrase: 合格教师	
qualify，v.	使合格；取得资格
qualify，v.	取得资格
qualify，v.	限定；使合格
qualitative，adj.	定性的；性质上的
qualities of teachers，idiom/phrase: 教师素质	
quality，adj.	优质的；高质量的
quality，n.	特性；品质
quality department，n.	质检部
quality education，n.	素质教育；优质教育
quality of education，n.	教育质量
quality of product，n.	产品质量
quantify，v.	量化
quantitative，adj.	定量的；数量的
quantity，n.	数量；量
quantum，n.	量子；份额
quarantine，n.	隔离；检疫
quarantine，v.	隔离
quarantine，v.	隔离；检疫
quarrel，n.	争吵
quarrel，v.	吵架；争吵
quarry，n.	采石场；猎物
quarry，v.	开采；费力寻找
quarter，n.	四分之一；季度；地区；一刻钟
quarter，v.	驻扎
quarter，v.	把…四等分；为…提供住处
quarterly，adj.	季度的
quarterly，adv.	按季度
quarterly，n.	季刊
quarterly magazine，n.	季刊
quartermaster，n.	军需官
quarters player，n.	投币玩家
quartile，n.	四分位数
quartz，n.	石英
quartz clock，n.	石英钟
quartz watch，n.	石英表
queen，v.	立为女王
queen size，adj.	大号的
query，n.	疑问；查询
query，v.	询问；质疑
quest，n.	探索；寻求
quest，v.	探索；寻求
question，n.	问题；疑问
question technique，n.	提问技巧
questionable，adj.	可疑的
questionnaire，n.	问卷；调查表
questions，n.	问题（复数）
questions，v.	质疑（第三人称单数）
queue，n.	队；队列
queue up，idiom/phrase: 排队	
qui vive，idiom/phrase: 警戒	
quick，adj.	快的；迅速的；敏捷的
quick，adv.	迅速地
quick，n.	核心；嫩肉
quick response，n.	快速反应
quicken，v.	加快
quicken，v.	加快；鼓舞
quickly，adv.	迅速地；快地
quiet，adj.	安静的；宁静的
quiet，n.	安静；宁静
quiet，v.	平静下来
quiet，v.	使安静
quietly，adv.	安静地；悄悄地
quilt，n.	被子
quilt，v.	缝被子
quilt，v.	缝制；拼凑
quintuplet，n.	五胞胎之一
quit，adj.	了结的
quit，n.	退出
quit，v.	离开；停止；戒掉
quite，adv.	相当；很
quite a bit，idiom/phrase: 相当多	
quitter，n.	轻易放弃的人
quiver，n.	颤抖；箭袋
quiver，v.	颤抖
quiver，v.	使颤动
quiz，n.	小测验
quiz，v.	测验；盘问
quiz show，n.	问答竞赛节目
quoits，n.	套圈游戏
quoits，v.	玩套圈游戏
quota，n.	配额；限额
quotation，n.	报价；引文
quote，n.	引文；报价
quote，v.	引用；报价
quote ... unquote，idiom/phrase: 引号	
rabbit，v.	猎兔
rabies，n.	狂犬病
race，v.	比赛；飞驰
race car，n.	赛车
race-course，n.	赛道；赛马场
racial，adj.	种族的
racing，adj.	比赛的
racing，n.	比赛；竞赛
racism，n.	种族主义；种族歧视
rack，n.	架子
rack，v.	使痛苦；折磨
racket，n.	球拍；喧哗；勒索
racket，v.	喧闹
racket press，n.	网球拍夹
racketeer，n.	敲诈者；骗子
racketeer，v.	敲诈；勒索
radar，n.	雷达
radiance，n.	光辉；喜悦
radiant，adj.	容光焕发的；辐射的
radiant，n.	发光物
radiate，adj.	辐射状的
radiate，v.	辐射；散发；流露
radiation，n.	辐射
radiator，n.	暖气片；散热器
radical，adj.	激进的；根本的
radical，n.	激进分子
radically，adv.	根本上；彻底地
radio，v.	用无线电通讯
radio astronomer，n.	射电天文学家
radio frequency，n.	射频
radio play，n.	广播剧
radio program，n.	广播节目
radio signals，n.	无线电信号
radio station，n.	广播电台
radio talk，n.	电台谈话
radioactive，adj.	放射性的
radish，n.	萝卜
radius，n.	半径；范围
raft，n.	木筏；橡皮艇
raft，v.	乘筏
raft，v.	用筏子运送
rafting，n.	漂流
rafting，v.	漂流（进行时）
rag，n.	破布
rag，v.	戏弄；嘲笑
rage，n.	愤怒；狂怒
rage，v.	发怒；肆虐
ragged，adj.	破烂的；不平整的
raid，n.	突袭；搜查
raid，v.	突袭；搜查
rail，n.	栏杆；铁轨
rail，v.	责骂；抱怨
rail，v.	铺设铁轨
railroad，n.	铁路
railroad，v.	乘火车旅行
railroad，v.	快速运输；强迫通过
railroad car，n.	火车车厢
railway，v.	乘火车旅行
railway line，n.	铁路线
railway platform，n.	火车站台
railway station，n.	火车站
railway tracks，n.	铁轨
rain，n.	雨；雨水
rain，v.	大量地给予
rain water，n.	雨水
rainbow，adj.	彩虹色的
rainbow，n.	彩虹
rainbow，v.	使呈彩虹色
rainfall，n.	降雨量
rainforest，n.	雨林
rainforest lodge，n.	雨林小屋
raining，adj.	下雨的
raining，v.	下雨（进行时）
rainwear，n.	雨具
rainy water，n.	雨水
raise，n.	加薪；提高
raise money，idiom/phrase: 筹款	
raisin，n.	葡萄干
rake，n.	耙子
rake，v.	耙；搜索
ram，v.	猛撞；塞入
ramble，n.	漫步
ramble，v.	漫步；漫谈
ramble，v.	漫步于
rambler，n.	漫步者；攀缘植物
rambling，adj.	漫步的；杂乱无章的
rambling，v.	漫步（进行时）
rampant，adj.	猖獗的；蔓生的
random，adj.	随机的；任意的
random，adv.	随意地
random，n.	随意
randomly，adv.	随机地；随意地
range，n.	范围；幅度；山脉
range，v.	范围在…之间；排列
range，v.	排列；漫游
range hood，n.	抽油烟机
rank，adj.	难闻的；极度的
rank，n.	等级；军衔；排
rank，v.	排列；把…分等级
ranking，adj.	等级高的
ranking，n.	排名；等级
ranking，v.	排名（进行时）
ransack，v.	洗劫；遍寻
ransom，n.	赎金
ransom，v.	赎回
rapacious，adj.	贪婪的
rapidly，adv.	迅速地
rapine，n.	掠夺
rapture，n.	狂喜
rapture，v.	使狂喜
rare，adj.	稀有的；罕见的
rare，adj.	极好的
rare，adv.	非常
rare，v.	渴望
rare birds，n.	稀有鸟类
rare book，n.	珍本书
rare books division，idiom/phrase: 古籍部	
rare trees，n.	珍稀树木
rarely，adv.	很少；难得
rarity，n.	稀有；珍品
rash，adj.	轻率的；鲁莽的
rash，n.	皮疹；一阵
rashly，adv.	轻率地；鲁莽地
rat，n.	老鼠；叛徒
rat，v.	告密；背叛
rate，n.	比率；速度；价格
rate，v.	评价；评估；把…看作
rather，adv.	相当；有点
rather，int.	当然
rating，n.	评级；等级；收视率
rating，v.	评价（进行时）
ratio，n.	比率；比例
ratio，n.	比例
ration，n.	定量；配给
ration，v.	定量供应；配给
